GFMD initialization...
Number of processors used    : 1
Total number of GF atoms     : 1152
Extra load added to GF atoms : -0.01

Original positions of GF atoms determined from initial configuraiton!

Mapping info computed from initial configuration.
Total # of atoms in manifold : 1152
Surface vector along U       : [ 4.42745, 0 ]
Surface vector along V       : [ 0, 2.55619 ]
# of atoms per unit cell     : 2
Dimensions of the FFT mesh   : 18 x 32

Manifold to FFT mesh mapping information:
# nx ny nucell
 18 32 2
# ix iy iu atom_id
39 596 2.21373 49.8457 0
40 21 0 51.1238 0
41 597 2.21373 52.4019 0
42 22 0 53.68 0
43 598 2.21373 54.9581 0
44 23 0 56.2362 0
45 599 2.21373 57.5143 0
46 24 0 58.7924 0
47 600 2.21373 60.0705 0
48 25 0 61.3486 0
49 601 2.21373 62.6267 0
50 26 0 63.9048 0
51 602 2.21373 65.1829 0
52 27 0 66.461 0
53 603 2.21373 67.7391 0
54 28 0 69.0172 0
55 604 2.21373 70.2953 0
56 29 0 71.5733 0
57 605 2.21373 72.8514 0
58 30 0 74.1295 0
59 606 2.21373 75.4076 0
60 31 0 76.6857 0
61 607 2.21373 77.9638 0
62 32 0 79.2419 0
63 608 2.21373 80.52 0
64 33 4.42745 0 0
65 609 6.64118 1.2781 0
66 34 4.42745 2.55619 0
67 610 6.64118 3.83429 0
68 35 4.42745 5.11238 0
69 611 6.64118 6.39048 0
70 36 4.42745 7.66857 0
71 612 6.64118 8.94667 0
72 37 4.42745 10.2248 0
73 613 6.64118 11.5029 0
74 38 4.42745 12.781 0
75 614 6.64118 14.0591 0
76 39 4.42745 15.3371 0
77 615 6.64118 16.6152 0
78 40 4.42745 17.8933 0
79 616 6.64118 19.1714 0
80 41 4.42745 20.4495 0
81 617 6.64118 21.7276 0
82 42 4.42745 23.0057 0
83 618 6.64118 24.2838 0
84 43 4.42745 25.5619 0
85 619 6.64118 26.84 0
86 44 4.42745 28.1181 0
87 620 6.64118 29.3962 0
88 45 4.42745 30.6743 0
89 621 6.64118 31.9524 0
90 46 4.42745 33.2305 0
91 622 6.64118 34.5086 0
92 47 4.42745 35.7867 0
93 623 6.64118 37.0648 0
94 48 4.42745 38.3429 0
95 624 6.64118 39.621 0
96 49 4.42745 40.8991 0
97 625 6.64118 42.1772 0
98 50 4.42745 43.4552 0
99 626 6.64118 44.7333 0
100 51 4.42745 46.0114 0
101 627 6.64118 47.2895 0
102 52 4.42745 48.5676 0
103 628 6.64118 49.8457 0
104 53 4.42745 51.1238 0
105 629 6.64118 52.4019 0
106 54 4.42745 53.68 0
107 630 6.64118 54.9581 0
108 55 4.42745 56.2362 0
109 631 6.64118 57.5143 0
110 56 4.42745 58.7924 0
111 632 6.64118 60.0705 0
112 57 4.42745 61.3486 0
113 633 6.64118 62.6267 0
114 58 4.42745 63.9048 0
115 634 6.64118 65.1829 0
116 59 4.42745 66.461 0
117 635 6.64118 67.7391 0
118 60 4.42745 69.0172 0
119 636 6.64118 70.2953 0
120 61 4.42745 71.5733 0
121 637 6.64118 72.8514 0
122 62 4.42745 74.1295 0
123 638 6.64118 75.4076 0
124 63 4.42745 76.6857 0
125 639 6.64118 77.9638 0
126 64 4.42745 79.2419 0
127 640 6.64118 80.52 0
128 65 8.85491 0 0
129 641 11.0686 1.2781 0
130 66 8.85491 2.55619 0
131 642 11.0686 3.83429 0
132 67 8.85491 5.11238 0
133 643 11.0686 6.39048 0
134 68 8.85491 7.66857 0
135 644 11.0686 8.94667 0
136 69 8.85491 10.2248 0
137 645 11.0686 11.5029 0
138 70 8.85491 12.781 0
139 646 11.0686 14.0591 0
140 71 8.85491 15.3371 0
141 647 11.0686 16.6152 0
142 72 8.85491 17.8933 0
143 648 11.0686 19.1714 0
144 73 8.85491 20.4495 0
145 649 11.0686 21.7276 0
146 74 8.85491 23.0057 0
147 650 11.0686 24.2838 0
148 75 8.85491 25.5619 0
149 651 11.0686 26.84 0
150 76 8.85491 28.1181 0
151 652 11.0686 29.3962 0
152 77 8.85491 30.6743 0
153 653 11.0686 31.9524 0
154 78 8.85491 33.2305 0
155 654 11.0686 34.5086 0
156 79 8.85491 35.7867 0
157 655 11.0686 37.0648 0
158 80 8.85491 38.3429 0
159 656 11.0686 39.621 0
160 81 8.85491 40.8991 0
161 657 11.0686 42.1772 0
162 82 8.85491 43.4552 0
163 658 11.0686 44.7333 0
164 83 8.85491 46.0114 0
165 659 11.0686 47.2895 0
166 84 8.85491 48.5676 0
167 660 11.0686 49.8457 0
168 85 8.85491 51.1238 0
169 661 11.0686 52.4019 0
170 86 8.85491 53.68 0
171 662 11.0686 54.9581 0
172 87 8.85491 56.2362 0
173 663 11.0686 57.5143 0
174 88 8.85491 58.7924 0
175 664 11.0686 60.0705 0
176 89 8.85491 61.3486 0
177 665 11.0686 62.6267 0
178 90 8.85491 63.9048 0
179 666 11.0686 65.1829 0
180 91 8.85491 66.461 0
181 667 11.0686 67.7391 0
182 92 8.85491 69.0172 0
183 668 11.0686 70.2953 0
184 93 8.85491 71.5733 0
185 669 11.0686 72.8514 0
186 94 8.85491 74.1295 0
187 670 11.0686 75.4076 0
188 95 8.85491 76.6857 0
189 671 11.0686 77.9638 0
190 96 8.85491 79.2419 0
191 672 11.0686 80.52 0
192 97 13.2824 0 0
193 673 15.4961 1.2781 0
194 98 13.2824 2.55619 0
195 674 15.4961 3.83429 0
196 99 13.2824 5.11238 0
197 675 15.4961 6.39048 0
198 100 13.2824 7.66857 0
199 676 15.4961 8.94667 0
200 101 13.2824 10.2248 0
201 677 15.4961 11.5029 0
202 102 13.2824 12.781 0
203 678 15.4961 14.0591 0
204 103 13.2824 15.3371 0
205 679 15.4961 16.6152 0
206 104 13.2824 17.8933 0
207 680 15.4961 19.1714 0
208 105 13.2824 20.4495 0
209 681 15.4961 21.7276 0
210 106 13.2824 23.0057 0
211 682 15.4961 24.2838 0
212 107 13.2824 25.5619 0
213 683 15.4961 26.84 0
214 108 13.2824 28.1181 0
